word1,word2
berry,गन्धपूरा
berry,रास्पबेरी
berry,स्ट्रॉबेरी
berry,ब्लैकबेरी
berry,लोगान्बेरि
berry,शहतूत
berry,तेंदू
berry,ख़ुरमा
berry,ब्लूबेरी
berry,कीवी
berry,अंगूर
hand_tool,खुरचनी
hand_tool,नाव
hand_tool,फ्लोट
hand_tool,सूआ
hand_tool,रिंच
hand_tool,पाना
hand_tool,समतल
hand_tool,विमान
hand_tool,वर्गाकार
hand_tool,वर्ग
hand_tool,रंग
hand_tool,मूसल
hand_tool,सरौता
hand_tool,हथौड़ा
hand_tool,अंट्रा
hand_tool,फावड़ा
hand_tool,पेचकश
hand_tool,पेंचकस
hand_tool,सवार
hand_tool,फ़ाइल
hand_tool,सनकी
hand_tool,क्रैंक
hand_tool,देखा
hand_tool,करणी
hand_tool,लेने
hand_tool,बरमाना
hand_tool,क्लैंप
hand_tool,दबाना
hand_tool,ब्रेस
hand_tool,मैलेट
hand_tool,गैंती
crustacean,थकानेवाला
crustacean,ऐम्फिपोडा
crustacean,क्रिल्ल
crustacean,झींगा
crustacean,क्रेफ़िश
crustacean,क्लोमपाद
crustacean,चिंराट
crustacean,केकड़ा
cutlery,चम्मच
cutlery,चमचा
cutlery,कांटा
vertebrate,भ्रूण
vertebrate,उभयचर
vertebrate,पक्षी
vertebrate,साँप
vertebrate,सरीसृप
vertebrate,स्तनपायी
vertebrate,स्तनधारी
vertebrate,नाक
vertebrate,पर्सिफ़ोर्मेज़
reptile,कछुआ
reptile,छिपकली
reptile,साँप
reptile,बासीलीक
reptile,गेको
reptile,मगरमच्छ
reptile,टेरोसार
reptile,टेरोसोर
reptile,मीनसरीसृप
anger,अपराध
anger,आक्रोश
anger,रोष
anger,क्रोध
anger,तैश
building,तारामंडल
building,ताराघर
building,मुर्दाघर
building,बर्बाद
building,स्नानागार
building,मंज़िल
building,मंजिला
building,वास्तुकला
building,वेश्यालय
building,गणिकागृह
building,चिड़ियाखाना
building,एवियरी
building,शयनागार
building,होटल
building,वेधशाला
building,हाउस
building,घर
building,मंत्रालय
building,रिंक
building,पंख
building,क़साईख़ाना
building,छत
building,पुस्तकालय
building,रेस्टोरेंट
building,रेस्तरां
building,मंदिर
building,मन्दिर
building,झरोखा
building,ग्रीनहाउस
building,पूजास्थान
building,विद्यालय
building,स्कूल
building,केंद्र
building,हॉल
building,मधुशाला
building,रोटोंडा
building,थियेटर
building,थिएटर
building,नैव
building,चर्च
building,गेराज
building,आश्रम
building,खलिहान
building,गगनचुंबी
building,राजगीरी
building,चिनाई
building,स्थिर
building,लम्बाघर
building,बाँध
building,बांध
building,प्रकाशस्तम्भ
building,प्रकाशस्तंभ
building,बैरकों
building,किलाबंदी
building,दुर्ग
building,कर्मशाला
building,कार्यशाला
building,मंडप
drug,मादक
drug,प्रतिपक्षी
drug,चिकित्सा
drug,आयुर्विज्ञान
drug,संखिया
drug,आर्सेनिकीय
drug,नशा
drug,फिरंगरोधी
drug,स्वापक
drug,वनस्पति
drug,संवेदनाहारी
drug,मूत्रवर्धक
drug,उत्तेजक
drug,एम्फ़ैटेमिन
drug,केटामाइन
drug,डोपिंग
drug,एस्पिरिन
drug,एस्पिरीन
drug,एनाल्जेसिक
drug,पीड़ाहारी
drug,अफ़ीम
drug,मॉरफीन
drug,डायजेपाम
drug,डायजे़पाम
